	fasta	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	heme_regulatory_motif_count
MAG1_MAG1_34_33	MAG1	C	K07029	diacylglycerol kinase (ATP) [EC:2.7.1.107]								Diacylglycerol kinase catalytic domain [PF00781.27]; YegS C-terminal NAD kinase beta sandwich-like domain [PF19279.2]			0
MAG1_MAG1_34_30	MAG1	C	K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]								GatB/GatE catalytic domain [PF02934.18]; GatB domain [PF02637.21]			0
MAG1_MAG1_34_3	MAG1	C	K01756	adenylosuccinate lyase [EC:4.3.2.2]								Lyase [PF00206.23]; Adenylosuccinate lyase C-terminus [PF10397.12]			0
MAG1_MAG1_34_29	MAG1	C	K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]								Amidase [PF01425.24]			0
MAG1_MAG1_34_28	MAG1	C	K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]								Glu-tRNAGln amidotransferase C subunit [PF02686.18]			0
MAG1_MAG1_34_27	MAG1	C	K11928	sodium/proline symporter								Sodium:solute symporter family [PF00474.20]			0
MAG1_MAG1_34_26	MAG1	C	K07507	putative Mg2+ transporter-C (MgtC) family protein								MgtC family [PF02308.19]			0
MAG1_MAG1_34_25	MAG1	C	K23983	amicoumacin kinase [EC:2.7.1.230]								Phosphotransferase enzyme family [PF01636.26]			0
MAG1_MAG1_34_23	MAG1	C	K01972	DNA ligase (NAD+) [EC:6.5.1.2]								NAD-dependent DNA ligase adenylation domain [PF01653.21]; NAD-dependent DNA ligase OB-fold domain [PF03120.19]; Helix-hairpin-helix motif [PF12826.10]; NAD-dependent DNA ligase C4 zinc finger domain [PF03119.19]; BRCA1 C Terminus (BRCT) domain [PF00533.29]; twin BRCT domain [PF12738.10]			0
MAG1_MAG1_34_22	MAG1	C	K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]								UvrD/REP helicase N-terminal domain [PF00580.24]; UvrD-like helicase C-terminal domain [PF13361.9]; AAA domain [PF13245.9]; UvrD-like helicase C-terminal domain [PF13538.9]			0
MAG1_MAG1_34_2	MAG1	C	K01589	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]								ATP-grasp domain [PF02222.25]; Phosphoribosylaminoimidazole carboxylase C-terminal domain [PF17769.4]; D-ala D-ala ligase C-terminus [PF07478.16]; D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.22]; ATP-grasp domain [PF02655.17]			0
MAG1_MAG1_34_16	MAG1	C	K01486	adenine deaminase [EC:3.5.4.2]	MER0062762	M38	MER0062762 - family M38 non-peptidase homologues (Bacillus amyloliquefaciens) [M38.UNW]#M38#{peptidase unit: 29-366}~source YP_001420312~	True	0.985	704.0	1.841e-224	Adenine deaminase C-terminal domain [PF13382.9]; Amidohydrolase family [PF01979.23]			0
MAG1_MAG1_34_14	MAG1	C	K16263	amino acid efflux transporter	MER0093527	M03X	MER0093527 - family M3 unassigned peptidases (Enterobacter sp. 638) [M03.UPW]#M03X#{peptidase unit: 1-680}~source A4W5N6~	False	0.249	136.0	2.011e-32	Amino acid permease [PF13520.9]; Amino acid permease [PF00324.24]			0
MAG1_MAG1_34_13	MAG1	C	K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein								Winged helix-turn-helix DNA-binding [PF13412.9]; Lrp/AsnC ligand binding domain [PF01037.24]			0
MAG1_MAG1_34_12	MAG1	C	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]								Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain [PF01071.22]; Phosphoribosylglycinamide synthetase, N domain [PF02844.18]; Phosphoribosylglycinamide synthetase, C domain [PF02843.19]; ATP-grasp domain [PF02655.17]; RimK-like ATP-grasp domain [PF08443.14]; ATP-grasp domain [PF13535.9]; Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.20]; ATP-grasp domain [PF02222.25]; ATP-grasp domain [PF08442.13]			0
MAG1_MAG1_34_11	MAG1	C	K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]								AICARFT/IMPCHase bienzyme [PF01808.21]; MGS-like domain [PF02142.25]; Phosphoribosylglycinamide synthetase, N domain [PF02844.18]			0
MAG1_MAG1_34_10	MAG1	C	K11175	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]								Formyl transferase [PF00551.22]			0
MAG1_MAG1_34_1	MAG1	C	K01588	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]								AIR carboxylase [PF00731.23]			0
MAG1_MAG1_34_9	MAG1	C	K01933	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]								AIR synthase related protein, N-terminal domain [PF00586.27]; AIR synthase related protein, C-terminal domain [PF02769.25]			0
MAG1_MAG1_35_2	MAG1	C	K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]								Iron-containing alcohol dehydrogenase [PF13685.9]; Iron-containing alcohol dehydrogenase [PF00465.22]			0
MAG1_MAG1_35_3	MAG1	C	K17234	arabinooligosaccharide transport system substrate-binding protein								Bacterial extracellular solute-binding protein [PF01547.28]; Bacterial extracellular solute-binding protein [PF13416.9]			0
MAG1_MAG1_35_4	MAG1	C	K17235	arabinooligosaccharide transport system permease protein								Binding-protein-dependent transport system inner membrane component [PF00528.25]			0
MAG1_MAG1_36_45	MAG1	C	K03498	trk/ktr system potassium uptake protein								Cation transport protein [PF02386.19]			0
MAG1_MAG1_36_44	MAG1	C	K03799	heat shock protein HtpX [EC:3.4.24.-]	MER0296243	M48B	MER0296243 - HtpX peptidase (Bacillus sp. JS) [M48.002]#M48B#{peptidase unit: 25-296}~source YP_006231270~	True	0.836	471.0	4.063e-149	Peptidase family M48 [PF01435.21]			0
MAG1_MAG1_36_42	MAG1	C	K06418	small acid-soluble spore protein A (major alpha-type SASP)								Small, acid-soluble spore proteins, alpha/beta type [PF00269.23]			0
MAG1_MAG1_36_4	MAG1	C	K01478	arginine deiminase [EC:3.5.3.6]								N,N dimethylarginine dimethylhydrolase, eukaryotic [PF19420.2]; Arginine deiminase [PF02274.20]			0
MAG1_MAG1_36_38	MAG1	C	K03975	membrane-associated protein								SNARE associated Golgi protein [PF09335.14]			0
MAG1_MAG1_36_37	MAG1	C	K21023	diguanylate cyclase [EC:2.7.7.65]								EAL domain [PF00563.23]; Diguanylate cyclase, GGDEF domain [PF00990.24]; Cation efflux system protein CusB domain 1 [PF00529.23]; Bacterial signalling protein N terminal repeat [PF03707.19]; PAS fold [PF08448.13]			0
MAG1_MAG1_36_36	MAG1	C	K10979	DNA end-binding protein Ku								Ku70/Ku80 beta-barrel domain [PF02735.19]			0
MAG1_MAG1_36_35	MAG1	C	K01971	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]								ATP dependent DNA ligase domain [PF01068.24]; mRNA capping enzyme, catalytic domain [PF01331.22]			0
MAG1_MAG1_36_33	MAG1	C	K15973	MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor								Winged helix DNA-binding domain [PF13463.9]; MarR family [PF01047.25]; MarR family [PF12802.10]			0
MAG1_MAG1_36_30	MAG1	C	K23776	MerR family transcriptional regulator, global nitrogen regulator								MerR HTH family regulatory protein [PF13411.9]; MerR family regulatory protein [PF00376.26]			0
MAG1_MAG1_36_3	MAG1	C	K07404	6-phosphogluconolactonase [EC:3.1.1.31]								Lactonase, 7-bladed beta-propeller [PF10282.12]; Cytochrome D1 heme domain [PF02239.19]			0
MAG1_MAG1_36_29	MAG1	C	K06213	magnesium transporter								Divalent cation transporter [PF01769.19]; MgtE intracellular N domain [PF03448.20]; CBS domain [PF00571.31]			0
MAG1_MAG1_36_27	MAG1	C	K06306	spore germination protein	MER0231319	M23B	MER0231319 - subfamily M23B non-peptidase homologues (Thermaerobacter marianensis) [M23.UNB]#M23B#{peptidase unit: 70-183}~source YP_004101378~	False	0.332	60.0	4.725e-08	Glycosyl hydrolases family 18 [PF00704.31]; LysM domain [PF01476.23]	CBM50; GH18	CBM50 Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.; GH18 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity (EC 3.2.1.-); Nod factor hydrolase (EC 3.2.1.-); xylanase inhibitor; concanavalin B; narbonin	0
MAG1_MAG1_41_7	MAG1	C	K15581	oligopeptide transport system permease protein								Binding-prot-dependent transport system membrane comp, N-term [PF19300.2]			0
MAG1_MAG1_36_26	MAG1	C	K16925	energy-coupling factor transport system permease protein								ABC-type cobalt transport system, permease component [PF09819.12]			0
MAG1_MAG1_36_24	MAG1	C	K16785	energy-coupling factor transport system permease protein								Cobalt transport protein [PF02361.19]			0
MAG1_MAG1_36_23	MAG1	C	K17763	rsbT co-antagonist protein RsbR								STAS domain [PF01740.24]			0
MAG1_MAG1_36_22	MAG1	C	K13275	major intracellular serine protease [EC:3.4.21.-]	MER0025140	S08A	MER0025140 - IspA peptidase (Bacillus amyloliquefaciens) [S08.030]#S08A#{peptidase unit: 19-305}~source EHM05417~	True	0.932	562.0	2.7599999999999998e-180	Subtilase family [PF00082.25]			0
MAG1_MAG1_36_21	MAG1	C	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]								Cobalamin-independent synthase, N-terminal domain [PF08267.15]; Cobalamin-independent synthase, Catalytic domain [PF01717.21]			0
MAG1_MAG1_36_20	MAG1	C	K16326	CRP/FNR family transcriptional regulator, putaive post-exponential-phase nitrogen-starvation regulator								Cyclic nucleotide-binding domain [PF00027.32]			0
MAG1_MAG1_36_2	MAG1	C	K02032	peptide/nickel transport system ATP-binding protein								ABC transporter [PF00005.30]; Oligopeptide/dipeptide transporter, C-terminal region [PF08352.15]			0
MAG1_MAG1_36_19	MAG1	C	K05820	MFS transporter, PPP family, 3-phenylpropionic acid transporter								MFS_1 like family [PF12832.10]			0
MAG1_MAG1_36_14	MAG1	C	K04063	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]								OsmC-like protein [PF02566.22]			0
MAG1_MAG1_36_13	MAG1	C	K23775	MarR family transcriptional regulator, organic hydroperoxide resistance regulator								MarR family [PF01047.25]; Winged helix DNA-binding domain [PF13463.9]; MarR family [PF12802.10]			0
MAG1_MAG1_36_12	MAG1	C	K04063	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]								OsmC-like protein [PF02566.22]			0
MAG1_MAG1_36_11	MAG1	C	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]								Aldehyde dehydrogenase family [PF00171.25]			0
MAG1_MAG1_36_10	MAG1	C	K00931	glutamate 5-kinase [EC:2.7.2.11]								Amino acid kinase family [PF00696.31]; PUA domain [PF01472.23]			0
MAG1_MAG1_36_1	MAG1	C	K20742	gamma-D-glutamyl-L-lysine dipeptidyl-peptidase [EC:3.4.14.13]	MER0237976	C40	MER0237976 - NLP/P60 ({Nostoc punctiforme})-like putative peptidase (Bacillus amyloliquefaciens) [C40.009]#C40#{peptidase unit: 176-293}~source YP_003919983~	False	1.0	252.0	1.198e-75	NlpC/P60 family [PF00877.22]			0
MAG1_MAG1_36_25	MAG1	C	K01552	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]								ABC transporter [PF00005.30]			0
MAG1_MAG1_41_8	MAG1	C	K15582	oligopeptide transport system permease protein								N-terminal TM domain of oligopeptide transport permease C [PF12911.10]			0
MAG1_MAG1_42_2	MAG1	C	K15327	polyketide biosynthesis malonyl-CoA-[acyl-carrier-protein] transacylase								Acyl transferase domain [PF00698.24]			0
MAG1_MAG1_42_3	MAG1	C	K01069	hydroxyacylglutathione hydrolase [EC:3.1.2.6]								Metallo-beta-lactamase superfamily [PF00753.30]; Beta-lactamase superfamily domain [PF12706.10]			0
MAG1_MAG1_56_21	MAG1	C	K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]								Amino-transferase class IV [PF01063.22]			0
MAG1_MAG1_56_20	MAG1	C	K03740	D-alanine transfer protein								DltD protein [PF04914.15]			0
MAG1_MAG1_56_2	MAG1	C	K00878	hydroxyethylthiazole kinase [EC:2.7.1.50]								Hydroxyethylthiazole kinase family [PF02110.18]; Carbohydrate kinase [PF01256.20]			0
MAG1_MAG1_56_19	MAG1	C	K14188	D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]								Phosphopantetheine attachment site [PF00550.28]			0
MAG1_MAG1_56_18	MAG1	C	K03739	membrane protein involved in D-alanine export								MBOAT, membrane-bound O-acyltransferase family [PF03062.22]			0
MAG1_MAG1_56_17	MAG1	C	K03367	D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]								AMP-binding enzyme [PF00501.31]; AMP-binding enzyme C-terminal domain [PF13193.9]			0
MAG1_MAG1_56_15	MAG1	C	K02548	1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]								UbiA prenyltransferase family [PF01040.21]			0
MAG1_MAG1_56_14	MAG1	C	K07816	GTP pyrophosphokinase [EC:2.7.6.5]								Region found in RelA / SpoT proteins [PF04607.20]			0
MAG1_MAG1_56_12	MAG1	C	K13277	minor extracellular protease Epr [EC:3.4.21.-]	MER0324748	S08A	MER0324748 - EPR peptidase ({Bacillus} sp.) (Bacillus sp. 5B6) [S08.126]#S08A#{peptidase unit: 104-374}~source ZP_10044845~	True	0.936	534.0	1.429e-165	Subtilase family [PF00082.25]			0
MAG1_MAG1_56_11	MAG1	C	K02761	cellobiose PTS system EIIC component								Phosphotransferase system, EIIC [PF02378.21]			0
MAG1_MAG1_56_10	MAG1	C	K01759	lactoylglutathione lyase [EC:4.4.1.5]								Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF13669.9]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.28]; Glyoxalase-like domain [PF12681.10]; Glyoxalase-like domain [PF18029.4]			0
MAG1_MAG1_56_1	MAG1	C	K00788	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]								Thiamine monophosphate synthase [PF02581.20]			0
MAG1_MAG1_55_5	MAG1	C	K06881	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]								DHH family [PF01368.23]			0
MAG1_MAG1_54_3	MAG1	C	K14166	copper transport protein								CopC domain [PF04234.15]; Copper resistance protein D [PF05425.16]			0
MAG1_MAG1_54_2	MAG1	C	K21601	DeoR family transcriptional regulator, copper-sensing transcriptional repressor								DeoR-like helix-turn-helix domain [PF08220.15]; NosL [PF05573.15]; HTH domain [PF08279.15]; FaeA-like protein [PF04703.15]			0
MAG1_MAG1_53_5	MAG1	C	K04751	nitrogen regulatory protein P-II 1								Nitrogen regulatory protein P-II [PF00543.25]			0
MAG1_MAG1_53_4	MAG1	C	K03320	ammonium transporter, Amt family								Ammonium Transporter Family [PF00909.24]			0
MAG1_MAG1_53_3	MAG1	C	K03320	ammonium transporter, Amt family								Ammonium Transporter Family [PF00909.24]			0
MAG1_MAG1_52_4	MAG1	C	K06901	adenine/guanine/hypoxanthine permease								Permease family [PF00860.23]			0
MAG1_MAG1_52_2	MAG1	C	K03088	RNA polymerase sigma-70 factor, ECF subfamily								ECF sigma factor [PF07638.14]; Sigma-70, region 4 [PF08281.15]; Sigma-70 region 2 [PF04542.17]; Sigma-70, region 4 [PF04545.19]			0
MAG1_MAG1_52_1	MAG1	C	K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]								GMP synthase C terminal domain [PF00958.25]			0
MAG1_MAG1_51_2	MAG1	C	K02337	DNA polymerase III subunit alpha [EC:2.7.7.7]								Bacterial DNA polymerase III alpha NTPase domain [PF07733.15]; Bacterial DNA polymerase III alpha subunit finger domain [PF17657.4]; Helix-hairpin-helix motif [PF14579.9]; PHP domain [PF02811.22]; OB-fold nucleic acid binding domain [PF01336.28]			0
MAG1_MAG1_50_5	MAG1	C	K06973	uncharacterized protein								Putative neutral zinc metallopeptidase [PF04298.15]			0
MAG1_MAG1_4_6	MAG1	C	K05799	GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex								FCD domain [PF07729.15]; Bacterial regulatory proteins, gntR family [PF00392.24]			0
MAG1_MAG1_4_5	MAG1	C	K03303	lactate permease								L-lactate permease [PF02652.17]			0
MAG1_MAG1_4_4	MAG1	C	K03092	RNA polymerase sigma-54 factor								Sigma-54, DNA binding domain [PF04552.16]; Sigma-54 factor, core binding domain [PF04963.16]; Sigma-54 factor, Activator interacting domain (AID) [PF00309.23]			0
MAG1_MAG1_4_2	MAG1	C	K19431	pyruvyl transferase EpsO [EC:2.-.-.-]								Polysaccharide pyruvyl transferase [PF04230.16]			0
MAG1_MAG1_56_22	MAG1	C	K01222	6-phospho-beta-glucosidase [EC:3.2.1.86]								Family 4 glycosyl hydrolase [PF02056.19]; Family 4 glycosyl hydrolase C-terminal domain [PF11975.11]	GH4	GH4 maltose-6-phosphate glucosidase (EC 3.2.1.122); alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); 6-phospho-beta-glucosidase (EC 3.2.1.86); alpha-glucuronidase (EC 3.2.1.139); alpha-galacturonase (EC 3.2.1.67); palatinase (EC 3.2.1.-)	0
MAG1_MAG1_56_23	MAG1	C	K02759	cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]								PTS system, Lactose/Cellobiose specific IIA subunit [PF02255.19]			0
MAG1_MAG1_56_24	MAG1	C	K02761	cellobiose PTS system EIIC component								Phosphotransferase system, EIIC [PF02378.21]			0
MAG1_MAG1_56_25	MAG1	C	K02760	cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]								PTS system, Lactose/Cellobiose specific IIB subunit [PF02302.20]			0
MAG1_MAG1_58_18	MAG1	C	K17103	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]								CDP-alcohol phosphatidyltransferase [PF01066.24]			0
MAG1_MAG1_58_17	MAG1	C	K08289	phosphoribosylglycinamide formyltransferase 2 [EC:6.3.1.21]								ATP-grasp domain [PF02222.25]; Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.20]; ATP-grasp domain [PF02655.17]; ATP-grasp domain [PF13535.9]; RimK-like ATP-grasp domain [PF08443.14]; D-ala D-ala ligase C-terminus [PF07478.16]; Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain [PF01071.22]			0
MAG1_MAG1_58_16	MAG1	C	K08317	hydroxycarboxylate dehydrogenase A [EC:1.1.1.-]								Iron-containing alcohol dehydrogenase [PF00465.22]; Iron-containing alcohol dehydrogenase [PF13685.9]			0
MAG1_MAG1_58_13	MAG1	C	K00483	4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]								4-hydroxyphenylacetate 3-hydroxylase N terminal [PF11794.11]; 4-hydroxyphenylacetate 3-hydroxylase C terminal [PF03241.16]			0
MAG1_MAG1_58_12	MAG1	C	K02445	MFS transporter, OPA family, glycerol-3-phosphate transporter											0
MAG1_MAG1_58_11	MAG1	C	K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]								Glycerophosphoryl diester phosphodiesterase family [PF03009.20]			0
MAG1_MAG1_57_4	MAG1	C	K03481	RpiR family transcriptional regulator, glv operon transcriptional regulator								Helix-turn-helix domain, rpiR family [PF01418.20]; SIS domain [PF01380.25]			0
MAG1_MAG1_57_3	MAG1	C	K01232	maltose-6'-phosphate glucosidase [EC:3.2.1.122]								Family 4 glycosyl hydrolase [PF02056.19]; Family 4 glycosyl hydrolase C-terminal domain [PF11975.11]	GH4	GH4 maltose-6-phosphate glucosidase (EC 3.2.1.122); alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); 6-phospho-beta-glucosidase (EC 3.2.1.86); alpha-glucuronidase (EC 3.2.1.139); alpha-galacturonase (EC 3.2.1.67); palatinase (EC 3.2.1.-)	0
MAG1_MAG1_57_2	MAG1	C	K06425	small acid-soluble spore protein H (minor)								Small acid-soluble spore protein H family [PF08141.15]			0
MAG1_MAG1_56_9	MAG1	C	K06969	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]								S-adenosylmethionine-dependent methyltransferase [PF10672.12]; PUA-like domain [PF17785.4]; Conserved hypothetical protein 95 [PF03602.18]			0
MAG1_MAG1_56_7	MAG1	C	K21744	MerR family transcriptional regulator, thiopeptide resistance regulator								TipAS antibiotic-recognition domain [PF07739.16]; MerR HTH family regulatory protein [PF13411.9]; MerR family regulatory protein [PF00376.26]; GyrI-like small molecule binding domain [PF06445.18]			0
MAG1_MAG1_56_42	MAG1	C	K03457	nucleobase:cation symporter-1, NCS1 family								Permease for cytosine/purines, uracil, thiamine, allantoin [PF02133.18]			0
MAG1_MAG1_56_41	MAG1	C	K24041	penicillin V amidase [EC:3.5.1.11]	MER0123948	C59	MER0123948 - penicillin V acylase precursor (Bacillus amyloliquefaciens) [C59.001]#C59#{peptidase unit: 39-365}~source YP_005547776~	True	0.986	683.0	4.288e-221	Linear amide C-N hydrolases, choloylglycine hydrolase family [PF02275.21]; Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase [PF03417.19]			0
MAG1_MAG1_49_5	MAG1	C	K07149	uncharacterized protein								Family of unknown function (DUF6198) [PF19700.2]			0
MAG1_MAG1_56_40	MAG1	C	K03781	catalase [EC:1.11.1.6]								Catalase [PF00199.22]; Catalase-related immune-responsive [PF06628.15]			0
MAG1_MAG1_56_39	MAG1	C	K01218	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]								Glycosyl hydrolase family 26 [PF02156.18]	GH26	GH26 beta-mannanase (EC 3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC 3.2.1.100); beta-1,3-xylanase (EC 3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); mannobiose-producing exo-beta-mannanase (EC 3.2.1.-)	0
MAG1_MAG1_56_38	MAG1	C	K01809	mannose-6-phosphate isomerase [EC:5.3.1.8]								Phosphomannose isomerase type I, catalytic domain [PF20511.1]			0
MAG1_MAG1_56_36	MAG1	C	K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]								Glycosyl hydrolase family 1 [PF00232.21]; Cellulase (glycosyl hydrolase family 5) [PF00150.21]	GH1	GH1 beta-glucosidase (EC 3.2.1.21); beta-galactosidase (EC 3.2.1.23); beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-D-fucosidase (EC 3.2.1.38); phlorizin hydrolase (EC 3.2.1.62); exo-beta-1,4-glucanase (EC 3.2.1.74); 6-phospho-beta-galactosidase (EC 3.2.1.85); 6-phospho-beta-glucosidase (EC 3.2.1.86); strictosidine beta-glucosidase (EC 3.2.1.105); lactase (EC 3.2.1.108); amygdalin beta-glucosidase (EC 3.2.1.117); prunasin beta-glucosidase (EC 3.2.1.118); vicianin hydrolase (EC 3.2.1.119); raucaffricine beta-glucosidase (EC 3.2.1.125); thioglucosidase (EC 3.2.1.147); beta-primeverosidase (EC 3.2.1.149); isoflavonoid 7-O-beta-apiosyl-beta-glucosidase (EC 3.2.1.161); ABA-specific beta-glucosidase (EC 3.2.1.175); DIMBOA beta-glucosidase (EC 3.2.1.182); beta-glycosidase (EC 3.2.1.-); hydroxyisourate hydrolase (EC 3.-.-.-); beta-rutinosidase /alpha-L-rhamnose-(1,6)-beta-D-glucosidase (EC 3.2.1.-)	0
MAG1_MAG1_56_35	MAG1	C	K02761	cellobiose PTS system EIIC component								Phosphotransferase system, EIIC [PF02378.21]			0
MAG1_MAG1_56_34	MAG1	C	K02759	cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]								PTS system, Lactose/Cellobiose specific IIA subunit [PF02255.19]			0
MAG1_MAG1_56_33	MAG1	C	K02760	cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]								PTS system, Lactose/Cellobiose specific IIB subunit [PF02302.20]			0
MAG1_MAG1_56_32	MAG1	C	K03893	arsenical pump membrane protein								Arsenical pump membrane protein [PF02040.18]; Citrate transporter [PF03600.19]			0
MAG1_MAG1_56_31	MAG1	C	K03892	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor								Bacterial regulatory protein, arsR family [PF01022.23]; Helix-turn-helix domain [PF12840.10]			0
MAG1_MAG1_56_3	MAG1	C	K09681	LysR family transcriptional regulator, transcription activator of glutamate synthase operon								LysR substrate binding domain [PF03466.23]; Bacterial regulatory helix-turn-helix protein, lysR family [PF00126.30]			0
MAG1_MAG1_56_29	MAG1	C	K25289	ferric hydroxamate/heme transport system permease protein								FecCD transport family [PF01032.21]			0
MAG1_MAG1_56_28	MAG1	C	K25288	ferric hydroxamate/heme transport system permease protein								FecCD transport family [PF01032.21]			0
MAG1_MAG1_56_27	MAG1	C	K03652	DNA-3-methyladenine glycosylase [EC:3.2.2.21]								Methylpurine-DNA glycosylase (MPG) [PF02245.19]			0
MAG1_MAG1_56_26	MAG1	C	K03491	lichenan operon transcriptional antiterminator								Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2 [PF00359.25]; PRD domain [PF00874.23]; Mga helix-turn-helix domain [PF05043.16]; HTH domain [PF08279.15]			0
MAG1_MAG1_56_4	MAG1	C	K06518	holin-like protein								LrgA family [PF03788.17]			0
MAG1_MAG1_58_2	MAG1	C	K25144	linearmycin/streptolysin S transport system ATP-binding protein								ABC transporter [PF00005.30]			0
MAG1_MAG1_49_4	MAG1	C	K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]								ABC transporter [PF00005.30]; RecF/RecN/SMC N terminal domain [PF02463.22]			0
MAG1_MAG1_49_2	MAG1	C	K02424	L-cystine transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 3 [PF00497.23]			0
MAG1_MAG1_45_39	MAG1	C	K02501	imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	MER0437247	C26	MER0437247 - family C26 unassigned peptidases (Bacillus amyloliquefaciens) [C26.UPW]#C26#{peptidase unit: 4-204}~source AFJ63686~	True	0.925	391.0	3.589e-123	Glutamine amidotransferase class-I [PF00117.31]; Peptidase C26 [PF07722.16]; CobB/CobQ-like glutamine amidotransferase domain [PF07685.17]			0
MAG1_MAG1_45_38	MAG1	C	K01693	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]								Imidazoleglycerol-phosphate dehydratase [PF00475.21]			0
MAG1_MAG1_45_37	MAG1	C	K00013	histidinol dehydrogenase [EC:1.1.1.23]								Histidinol dehydrogenase [PF00815.23]			0
MAG1_MAG1_45_36	MAG1	C	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]								ATP phosphoribosyltransferase [PF01634.21]			0
MAG1_MAG1_45_35	MAG1	C	K02502	ATP phosphoribosyltransferase regulatory subunit								Histidyl-tRNA synthetase [PF13393.9]			0
